OBJECTID,GEOG,2000_POP,2010_POP,POP_CHANGE,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,POP_25OV,HS,BACH,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_EMP,EMP_CHANGE,PCT_CHANGE,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc
1,Albany Park,57655,51542,-6113,52079,13550,13719,11806,8412,3257,1335,33.7707497656982,15349,25003,2215,8223,1289,50477,41421,29624,26868,2703,11797,1260,25079,12398,2519,8366,1607,189,34545,26212,10482,3993,3997,3056,1912,1936,1579,51968.8498402556,16473,6405,10068,1718,18191,3500,164,3570,3643,7290,5.37750958718701,754,1552,3448,12437,-9999,4459,7331,4826,1234,341,1012,2950,1768,656,260401.647785788,17570,Health Care,Accommodation and Food Service,Retail Trade,Education,Professional,2459,1929,1769,1536,1528,4876,Health Care,Retail Trade,Manufacturing,Information,Accommodation and Food Service,1046,918,594,369,353,Outside of Chicago,The Loop,Near North Side,Near West Side,Albany Park,7238,2741,1370,806,462,Outside of Chicago,Albany Park,Irving Park,West Ridge,Portage Park,2064,462,172,151,147,,,,,,,,,,,,,,,,12281,,,,,,,,,,0.539621046916904,1229.16048808557,302.877259167911,0.246409856242325,295.528239252722,0.240430962528751,34.520915193528879,0.028084953533851074,75.0401623012299,0.061049930443262,53.8042652151627,0.0437731815631037,20.188114546908857,0.016424311343063172,413.623653946563,0.336509070992663,n/a,n/a,28.1029245023855,0.0228635111320216,5.47495395915537,0.00445422222095886
2,Archer Heights,12644,13393,749,13266,4205,2948,2830,1924,947,411,31.9913242009132,2572,10109,114,388,82,13256,9898,6594,5808,786,3304,69,5522,3353,900,899,335,35,7944,5407,888,890,1238,854,317,425,114,43393.536121673,3839,2140,1700,407,4247,1951,57,1044,958,201,5.59674922600619,11,833,2098,1304,-9999,357,1455,1806,402,227,534,1482,87,30,177566.964285714,4612,Manufacturing,Administration,Health Care,Accommodation and Food Service,Retail Trade,672,517,483,478,466,9392,Manufacturing,Transportation,Administration,Wholesale Trade,Retail Trade,3063,2003,1216,824,699,Outside of Chicago,The Loop,Near West Side,Near North Side,Archer Heights,1810,660,258,244,232,Outside of Chicago,South Lawndale,Brighton Park,West Lawn,Archer Heights,5031,295,268,251,232,,,,,,,,,,,,,,,,15621,,,,,,,,,,1.13109796056387,1283.80407616835,168.550456938644,0.131289859619157,68.8059419066613,0.053595360214169,18.176619243562691,0.014158405928895864,52.723123548768,0.0410678891954648,37.963040590016,0.0295707431490019,333.605519215888480,0.2598570338018935,555.886936267358,0.432999821847007,n/a,n/a,15.0051455448403,0.0116880338856881,33.0872929126142,0.0257728523587233
3,Armour Square,12032,13391,1359,14068,3029,3004,2500,2806,1815,915,41.9546448087432,1545,438,1348,10324,413,14058,11880,6997,5919,1078,4883,188,5661,2250,1082,1113,1122,94,10115,6636,2150,2660,1147,646,263,383,121,24336.4611260054,5221,1858,3362,498,5717,441,753,751,1160,2599,4.85478547854786,874,1945,908,1991,-9999,1358,1877,2040,285,158,226,829,641,163,275865.384615385,4713,Accommodation and Food Service,Health Care,Retail Trade,Manufacturing,Administration,880,656,416,386,385,4909,Accommodation and Food Service,Arts and Entertainment,Administration,Health Care,Retail Trade,1397,750,651,583,366,Outside of Chicago,The Loop,Armour Square,Near North Side,Near West Side,1511,874,589,280,259,Outside of Chicago,Bridgeport,Armour Square,Brighton Park,McKinley Park,1314,655,589,236,225,,,,,,,,,,,,,,,,8150,,,,,,,,,,1.06761347829059,637.424147103849,56.1181535388806,0.0880389514483483,79.2364380659709,0.124307242557383,9.858423031826433,0.015466033216059355,89.5127715637198,0.1404288996117,11.2492806437011,0.0176480302712291,18.034999493747403,0.02829356179192431,343.632519878727,0.539095547980146,n/a,n/a,15.019186412592,0.023562311658308,14.7623744746838,0.023159421464902
4,Ashburn,39584,41081,1497,42752,12506,8188,8951,8557,3401,1149,36.1643902439024,5555,15455,20817,284,641,42132,32943,21985,19004,2981,10958,263,18028,12824,2320,2602,181,101,26767,22201,5359,2138,2888,2484,2083,2307,923,63573.1622746186,12823,10850,1973,658,13481,11826,50,316,472,809,6.526369168357,291,2340,10112,738,-9999,397,2221,7452,2548,863,4643,5811,319,60,159074.378226185,15903,Health Care,Education,Public Administration,Retail Trade,Manufacturing,2174,2048,1736,1460,1311,5064,Retail Trade,Health Care,Utilities,Accommodation and Food Service,Administration,1107,862,776,353,336,Outside of Chicago,The Loop,Near West Side,Near North Side,Ashburn,6439,3723,957,826,254,Outside of Chicago,Ashburn,Auburn Gresham,Chicago Lawn,South Shore,2686,254,165,155,92,,,,,,,,,,,,,,,,18740,,,,,,,,,,6.07846682239934,3109.7414378481,1267.65497351176,0.407639991570797,41.0147385013417,0.0131891153399954,9.861780477391331,0.0031712541619587377,132.260600858037,0.0425310603795921,182.693783246428,0.0587488660706306,103.805630451137130,0.03338079146637005,1071.49831079845,0.344561865419884,n/a,n/a,259.866613591216,0.083565344188564,41.085006412336,0.0132117114022079
5,Auburn Gresham,55928,48743,-7185,45842,12050,8948,7776,9624,5420,2024,39.1345765686705,231,689,44402,117,403,45727,36609,20187,14910,5234,16422,568,14122,8150,999,4601,237,135,30659,25304,4273,7455,4475,2839,1103,972,306,29388.7147335423,17150,7498,9652,3285,20435,8335,372,4132,3666,3874,5.81117439120189,629,1630,9140,9036,-9999,3672,7045,6608,2139,971,4512,2768,196,22,130475.946775844,14393,Health Care,Education,Retail Trade,Administration,Transportation,2954,1643,1482,1381,1172,2502,Retail Trade,Accommodation and Food Service,Transportation,Health Care,Education,565,338,274,228,194,Outside of Chicago,The Loop,Near West Side,Near North Side,Hyde Park,4881,2855,1089,1068,291,Outside of Chicago,Auburn Gresham,Greater Grand Crossing,South Shore,Chatham,952,217,79,79,77,,,,,,,,,,,,,,,,10796,,,,,,,,,,1.29453334380997,2411.96864154889,800.140272513142,0.33173742756428,319.436742515532,0.132438182243696,22.147236704121749,0.009182224147781394,90.5184948418966,0.037528885443456,109.08894853019,0.045228178613523,54.893064205320009,0.02275861437819909,834.364134278164,0.345926609453082,n/a,n/a,59.3439975469366,0.0246039672840969,122.035750413592,0.0505959108718859
6,Austin,117527,98514,-19013,97643,28457,20624,18286,18392,9571,2313,34.7002278083268,4353,11132,81066,467,625,96495,75296,41638,33519,8110,33658,862,31821,19122,2303,9133,755,508,61770,47647,7685,12989,8564,4773,2559,2273,879,31634.3004211511,32037,12670,19367,5258,37295,9937,616,11234,7074,8364,5.7479605196898,1243,2513,8659,24880,-9999,6788,13808,11384,3333,1982,4982,6220,1280,182,168982.002249719,33030,Health Care,Retail Trade,Administration,Education,Accommodation and Food Service,6253,3731,3626,2786,2733,16657,Administration,Manufacturing,Health Care,Retail Trade,Accommodation and Food Service,4756,2401,2063,2016,898,Outside of Chicago,The Loop,Near North Side,Near West Side,Austin,15019,4968,2028,1857,1283,Outside of Chicago,Austin,Belmont Cragin,Humboldt Park,North Lawndale,8643,1283,372,344,260,,,,,,,,,,,,,,,,10556,,,,,,,,,,2.04521879888424,4574.24707811772,958.05287195504,0.209444932814883,794.188429362266,0.173621672769165,62.312473119085247,0.013622454593057632,206.106042373001,0.0450579163856212,206.258358746002,0.0450912150619718,499.204564570245280,0.10913371229078098,1470.44448275922,0.321461534028961,n/a,n/a,199.701299179454,0.0436577420871698,177.978556053415,0.0389088199683896
7,Avalon Park,11147,10185,-962,9780,2031,1816,1636,2319,1516,462,45.0246644295302,52,62,9521,59,86,9775,8279,4498,3493,1005,3782,178,3192,2129,393,631,8,30,7046,6238,1556,1407,841,533,351,490,154,41351.3513513514,3775,2500,1274,639,4413,2652,255,332,464,711,6.26565762004175,382,192,1851,1989,-9999,956,957,1503,655,341,1145,1215,66,74,155442.708333333,3392,Health Care,Education,Public Administration,Administration,Transportation,675,487,306,284,257,2644,Health Care,Construction,Retail Trade,Wholesale Trade,Finance,1673,251,135,102,94,The Loop,Outside of Chicago,Near North Side,Near West Side,Hyde Park,912,902,289,244,91,Outside of Chicago,South Shore,Auburn Gresham,Roseland,Austin,871,116,113,110,98,,,,,,,,,,,,,,,,14159,,,,,,,,,,2.86790122295034,800.108754670059,304.058607904667,0.380021598476386,27.2992845372951,0.03411946735735,2.577755700298908,0.003221756649021915,44.905045827352,0.0561236776441341,43.0124195106164,0.0537582163169223,12.008952785454342,0.015009150587792869,313.565352192726,0.391903413582859,n/a,n/a,28.0480739604543,0.0350553269124276,24.6332622511955,0.0307873924731064
8,Avondale,43083,39262,-3821,39721,10176,12222,8105,5728,2696,794,31.9840173545966,12327,24563,842,1277,712,39642,31292,21289,19621,1668,10003,766,18503,9720,2263,5343,970,207,26009,18795,6888,3414,4239,2572,1374,1194,771,44663.323782235,13564,5050,8514,1596,15160,2472,445,4544,4767,2920,5.54145671094824,1049,921,1888,11302,-9999,2835,6944,4121,707,553,716,2332,1670,324,274928.639391056,14908,Accommodation and Food Service,Retail Trade,Health Care,Manufacturing,Administration,1666,1637,1634,1377,1309,10284,Administration,Retail Trade,Manufacturing,Utilities,Construction,2759,1841,1539,991,494,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,5481,2286,1181,815,537,Outside of Chicago,Avondale,Logan Square,Belmont Cragin,Irving Park,5655,398,290,256,234,,,,,,,,,,,,,,,,16583,,,,,,,,,,0.222026111544235,1269.29742457625,161.303435278307,0.127080881245905,312.134012901274,0.245910853404181,34.998962119783293,0.02757349179327897,100.361982203892,0.0790689244779625,27.4754895365528,0.021646218612415,130.909043863817570,0.10313504252757884,478.377636628756,0.376883799940318,n/a,n/a,8.81909917664855,0.00694801628514513,14.9177628672172,0.0117527717132157
9,Belmont Cragin,78144,78743,599,79159,25314,18056,17714,11867,4780,1428,31.9751220280271,11276,63355,2483,1183,862,78851,58765,40580,35575,4990,18185,643,34043,21669,4940,5320,1327,786,47993,30130,5864,5597,6563,4484,2111,2261,709,43533.8484179544,21726,10745,10982,2492,24219,8771,517,5917,5720,3198,5.61236664795059,1114,2186,8070,12849,-9999,3475,10290,6548,2401,1506,2252,7022,1321,104,204817.596566524,26623,Manufacturing,Retail Trade,Health Care,Administration,Accommodation and Food Service,3960,3236,3164,2920,2634,10466,Administration,Retail Trade,Accommodation and Food Service,Manufacturing,Health Care,3491,2494,956,811,539,Outside of Chicago,The Loop,Near North Side,Near West Side,Belmont Cragin,12671,2946,1335,961,897,Outside of Chicago,Belmont Cragin,Portage Park,Logan Square,Austin,5522,897,253,227,221,,,,,,,,,,,,,,,,14137,,,,,,,,,,0.818349786890178,2504.577926446,711.919376126375,0.284247245258042,385.334810201695,0.153852194468744,48.238626808710869,0.0192601820447893,242.312876747243,0.096747988628601,146.582076050287,0.0585256599535264,121.358751873512280,0.048454771796907325,775.695242207137,0.30971096327909,n/a,n/a,64.7797507804396,0.0258645379312922,8.35641565060085,0.00333645663900688
10,Beverly,21992,20034,-1958,20815,5466,2890,4360,5285,2180,634,42.6722384784199,11604,1414,7257,101,439,20789,16495,10947,10163,784,5548,383,9490,6891,594,1734,224,47,14237,13749,7902,689,1226,1131,1110,1418,1918,90765.7657657658,7492,6227,1265,486,7978,6290,60,348,224,1039,7.19141449683322,148,237,3738,3855,-9999,860,1417,3181,1876,644,739,2662,2207,558,283454.734651405,9789,Education,Public Administration,Health Care,Professional,Retail Trade,1787,1315,1236,703,685,2947,Retail Trade,Health Care,Education,Accommodation and Food Service,Administration,441,418,395,390,314,Outside of Chicago,The Loop,Near West Side,Near North Side,Beverly,3630,3028,461,444,289,Outside of Chicago,Beverly,Morgan Park,Auburn Gresham,Mount Greenwood,1520,289,73,64,57,,,,,,,,,,,,,,,,15506,,,,,,,,,,12.3762396694492,2038.09374181602,1043.62365402059,0.51205871084746,58.8029698124673,0.0288519456225167,9.862034560105339,0.004838852285232914,66.0656312286836,0.0324154036064193,42.6877833365542,0.0209449557989996,n/a,n/a,548.885401231256,0.269313128228429,n/a,n/a,257.611428719586,0.126398223709791,10.5548389067787,0.00517877990115113
11,Bridgeport,33694,31977,-1717,33878,7632,8630,6797,7283,2528,1007,36.3665981077746,10818,9546,951,11702,861,33840,27681,18834,16720,2114,8847,360,16069,8540,2442,3380,1478,229,23593,18631,5819,3729,3202,2089,1382,1302,816,43056.4924114671,12519,5609,6911,1310,13831,3873,438,3622,3694,2168,5.30208333333333,1674,1607,1659,8890,-9999,2043,5442,4626,1297,422,709,2751,1747,385,267322.834645669,12907,Accommodation and Food Service,Health Care,Education,Retail Trade,Manufacturing,1790,1386,1178,1148,1095,4703,Manufacturing,Retail Trade,Education,Accommodation and Food Service,Wholesale Trade,1413,448,415,390,383,Outside of Chicago,The Loop,Near West Side,Near North Side,Armour Square,3960,2690,901,875,655,Outside of Chicago,Bridgeport,New City,Brighton Park,McKinley Park,1832,526,132,118,106,,,,,,,,,,,,,,,,11837,,,,,,,,,,1.40675621289539,1338.18915409914,243.563264633127,0.182009594000254,224.911108959169,0.168071238860532,31.112696150983101,0.023249849287508267,55.9100293803058,0.0417803635674691,32.9195111410897,0.0246000433049773,135.144977348502610,0.10099093759243748,491.183721874355,0.367051040856043,n/a,n/a,47.6580869804699,0.0356138643288834,75.7857576311346,0.0566330682018965
12,Brighton Park,44912,45368,456,44202,15143,9824,10091,6179,2139,826,30.7451479289941,2844,37620,677,2955,106,44106,32166,20579,17856,2721,11587,248,17136,10386,2652,3145,782,171,25686,14305,2245,3540,4726,1965,937,632,230,36077.4410774411,12030,5554,6476,1963,13993,3206,263,6402,3541,546,5.34690553745928,468,912,2675,9938,-9999,1217,6154,4998,1047,577,2249,2940,313,52,165602.836879433,12260,Manufacturing,Accommodation and Food Service,Retail Trade,Administration,Health Care,2044,1429,1364,1334,1231,4427,Manufacturing,Retail Trade,Wholesale Trade,Accommodation and Food Service,Transportation,1328,779,661,357,349,Outside of Chicago,The Loop,Near North Side,Near West Side,Brighton Park,4762,1516,672,645,414,Outside of Chicago,Brighton Park,South Lawndale,Gage Park,West Lawn,2056,414,129,129,104,,,,,,,,,,,,,,,,13383,,,,,,,,,,0.183770934339326,1742.25873843423,246.082585181548,0.141243421400603,304.091753252234,0.174538802156057,27.385200409402049,0.015718216706442335,79.4682667942765,0.0456122073267342,46.8535973401198,0.0268924450235372,276.752571174390200,0.15884699847917433,697.362151205862,0.400263253569664,n/a,n/a,8.1230428396669,0.00466236309250318,56.1395702367299,0.0322222922452853
13,Burnside,3294,2916,-378,2601,751,479,333,568,364,106,37.3989583333333,0,0,2601,0,0,2601,2074,1089,855,234,985,15,760,337,123,300,0,0,1680,1323,143,458,221,56,54,74,24,23632.0754716981,887,405,482,389,1276,683,12,219,174,188,5.70355731225296,212,143,420,501,-9999,290,276,458,235,17,287,112,6,0,116100,868,Health Care,Education,Retail Trade,Administration,Accommodation and Food Service,170,94,85,80,78,1760,Transportation,Manufacturing,Retail Trade,Health Care,Wholesale Trade,1036,404,104,88,58,Outside of Chicago,The Loop,Near North Side,Near West Side,Grand Boulevard,307,176,75,63,17,Outside of Chicago,Roseland,Auburn Gresham,Chatham,South Shore,616,82,79,65,57,,,,,,,,,,,,,,,,15618,,,,,,,,,,2.69849710470644,390.174082009607,67.2055619416798,0.172245069676424,13.8924220458988,0.0356057018814405,1.649768542546286,0.004228288393860213,14.6036429619299,0.0374285316100785,7.3727309354249,0.0188960037977186,116.359553816779540,0.29822471348549073,130.6471601825,0.334843256398775,n/a,n/a,7.01879096934144,0.017988870334982,31.4244506135072,0.0805395644212303
14,Calumet Heights,15974,13812,-2162,13732,2760,1823,2822,3008,2279,1040,46.7294117647059,308,443,12835,5,141,13725,11557,6486,5392,1094,5071,108,5091,3380,369,1237,79,26,10353,9160,2841,1337,1352,912,790,711,267,49922.9452054795,5369,4176,1193,621,5990,4491,183,544,505,235,6.45332645693657,94,443,3985,1468,-9999,322,1450,3121,759,338,1972,1970,125,86,153710.9375,4533,Health Care,Education,Public Administration,Administration,Retail Trade,838,639,443,382,372,2150,Health Care,Accommodation and Food Service,Retail Trade,Administration,Other Service,1262,261,180,77,76,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,1413,1161,355,324,116,Outside of Chicago,South Shore,Roseland,South Chicago,Auburn Gresham,1226,49,49,49,38,,,,,,,,,,,,,,,,15263,,,,,,,,,,1.53534536771982,1120.89626821864,436.210648391821,0.389162370113926,49.6820776884637,0.0443235284986895,3.592654224782412,0.0032051620891663355,35.9485131427766,0.0320712220765147,30.2476550498845,0.0269852402113488,10.154115923467256,0.009058925621729873,463.357947343733,0.413381648669518,n/a,n/a,21.0833625895286,0.0188093788759194,70.6192938641848,0.0630025238431874
15,Chatham,37275,31028,-6247,31392,7526,5674,5959,7323,3281,1629,41.0222331047992,389,287,30329,109,278,31345,25266,14979,11933,3046,10286,351,10954,5892,911,3819,224,109,21854,18894,4895,5574,3490,2134,1186,850,325,32221.7465753425,13560,5027,8534,2972,16533,5366,454,1580,2938,6175,5.42488425925926,415,1495,7717,6905,-9999,4594,5575,4653,1288,424,2710,2005,243,45,140956.52173913,9993,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,2040,1271,928,915,786,3855,Retail Trade,Finance,Health Care,Accommodation and Food Service,Manufacturing,1858,627,348,328,160,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,2833,2417,771,739,260,Outside of Chicago,Chatham,South Shore,Auburn Gresham,Roseland,1743,174,128,124,114,,,,,,,,,,,,,,,,11046,,,,,,,,,,1.11134523283178,1889.82255970298,527.917895002462,0.279347863793854,255.669632892509,0.135287639349956,17.706242951550394,0.009369262135559019,178.998069815762,0.0947168658225218,69.0787711084159,0.0365530460803012,46.855866722800073,0.02479379160875517,685.507865266242,0.362736629291789,n/a,n/a,34.8873495490552,0.0184606482602993,73.2008663941873,0.0387342536569634
16,Chicago Lawn,61412,55628,-5784,55551,18975,12949,11042,8239,3484,862,30.3917609225992,1873,26377,26100,529,672,55255,40742,25571,19975,5588,15171,529,18718,11300,2703,4126,555,34,31956,22118,2733,6074,4888,2322,1272,864,285,33121.704745167,15705,7021,8684,3025,18730,8045,114,4071,3609,2851,5.81055607917059,297,1914,10616,5903,-9999,3259,5480,6749,2126,1116,4742,2078,149,52,118931.966726084,15976,Health Care,Manufacturing,Administration,Retail Trade,Accommodation and Food Service,2363,1917,1751,1718,1628,3477,Retail Trade,Health Care,Accommodation and Food Service,Finance,Transportation,1638,421,314,204,199,Outside of Chicago,The Loop,Near West Side,Near North Side,New City,6906,2082,971,896,252,Outside of Chicago,Chicago Lawn,Gage Park,Ashburn,West Lawn,1780,194,88,74,72,,,,,,,,,,,,,,,,13492,,,,,,,,,,5.55201162110719,2256.18607444785,672.622691159264,0.298123766819132,255.773498670769,0.113365427420858,34.140047970078705,0.015131751922736981,105.497757733578,0.0467593337838487,65.3707773698763,0.028974018637126,54.710983524593765,0.02424932240483886,706.75951077586,0.313254087852139,n/a,n/a,308.419797564126,0.136699628216438,52.8910096797072,0.0234426629428829
17,Clearing,22331,23139,808,24962,6574,5448,5574,4068,2287,1011,36.1279338014042,11871,12361,140,319,271,24952,19513,13331,11966,1365,6182,159,11692,8264,1204,1838,302,84,16941,14212,2897,1708,1766,1897,1437,1277,445,60623.9168110919,8530,6034,2496,622,9152,5234,525,529,831,2007,5.71517140773158,277,2217,5767,891,-9999,971,2618,4227,926,410,1528,4130,364,0,183710.895361381,10014,Public Administration,Education,Manufacturing,Health Care,Retail Trade,1202,1078,1027,973,908,3689,Manufacturing,Wholesale Trade,Construction,Professional,Real Estate,855,549,414,391,263,Outside of Chicago,The Loop,Near West Side,Near North Side,Garfield Ridge,4371,2323,433,394,227,Outside of Chicago,Clearing,Garfield Ridge,Brighton Park,Chicago Lawn,2310,223,113,68,66,,,,,,,,,,,,,,,,17022,,,,,,,,,,1.37782199227766,1633.2689099194,517.285005710175,0.316717597799436,77.1708341767004,0.0472493131461792,10.412508702940164,0.006375256786988017,45.0972195959613,0.0276116316927791,19.7610873312174,0.0120991021204173,131.305402543551820,0.08039423376401118,782.299514648269,0.478977778795089,n/a,n/a,34.393192571235,0.0210578872605445,15.5441446393476,0.00951719863455594
18,Douglas,26470,18238,-8232,20323,4185,6391,3617,3369,1969,792,33.4924809424809,2165,485,14365,2913,395,17720,17470,9591,8101,1490,7879,327,7366,3240,448,2712,897,69,13384,11560,5422,4407,1809,1480,750,445,385,29184.7826086957,9276,1688,7588,1267,10543,706,675,290,604,8253,3.97256744468021,1120,3195,4884,1344,-9999,5067,3162,1633,558,123,531,591,496,70,224835.526315789,6383,Health Care,Education,Administration,Accommodation and Food Service,Retail Trade,1170,790,582,513,490,6188,Education,Health Care,Administration,Real Estate,Accommodation and Food Service,2488,921,629,615,428,The Loop,Outside of Chicago,Near North Side,Near West Side,Near South Side,1651,1620,611,560,221,Outside of Chicago,Douglas,Auburn Gresham,Lake View,South Shore,2339,156,152,144,144,,,,,,,,,,,,,,,,11547,,,,,,,,,,3.67344956371894,1052.85884408435,70.367915036668,0.0668350894633605,166.382451546201,0.1580292101653,3.524405597480572,0.0033474625941387896,51.1374982771908,0.048570136979439,230.893511869572,0.219301488672373,0.811398637635713,0.0007706623183104554,333.117739195798,0.316393542275368,n/a,n/a,74.6555154834601,0.0709074306616917,121.968408440346,0.115844976870018
